2021-04-20|15:35:10|Photography session fee|James|600.00
2021-08-29|17:40:50|Retainer fee received|Tom|1000.00
2021-12-15|16:10:35|Consultation fee received|Mark|300.00
2022-03-11|09:30:10|Coffee with client|Starbucks|-12.75
2022-06-24|15:30:00|Social media management|Lisa|500.00
2022-09-10|13:50:00|Final payment for project|Anna|1200.00
2022-10-03|11:25:45|Invoice 1002 paid|Sarah|850.00
2023-01-12|09:10:00|Client meeting travel|Uber|-23.80
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-05-19|10:05:22|Printer ink cartridges|OfficeDepot|-64.30
2023-07-14|08:45:20|Workspace rent|Rebus|-450.00
2023-10-22|08:20:00|Monthly software subscription|Adobe|-54.99
2023-11-17|08:45:00|Creative Cloud upgrade|Adobe|-29.99
2023-11-17|12:00:00|Cloud storage renewal|Dropbox|-99.00
2024-02-05|11:45:15|Team lunch|Chipotle|-45.60
2024-06-01|09:30:00|Flyer design order|Vistaprint|-49.99
2024-06-01|10:50:00|Business cards order|Vistaprint|-39.99
2024-07-08|14:45:00|Website design deposit|Emily|750.00
2024-08-09|13:20:00|Web maintenance payment|Olivia|300.00
2024-10-15|09:55:00|Ad campaign launch|Meta|-250.00
2024-10-15|15:20:00|Post boost payment|Meta|-75.00
2024-12-03|17:10:45|Year-end bonus received|CompanyX|2000.00
2025-01-10|09:00:00|Desk lamp|IKEA|-45.00
2025-01-10|10:20:00|Office furniture upgrade|IKEA|-689.99
2025-02-14|14:30:30|Valentine’s promo revenue|Storefront|480.00
2025-03-28|11:00:00|Travel booking for conference|Expedia|-320.00
2025-04-10|16:15:00|Client subscription renewal|Nina|900.00
2025-04-29|09:00:00|Business internet bill|Comcast|-110.00
2025-04-29|17:45:00|Late fee payment|Comcast|-15.00
2025-05-01|13:19:17|Bags|Shoppes|70.00
2025-05-01|13:24:37|OfficeSnacks|Walmart|-150.88
2025-05-02|00:07:24|test|exam|90.00
2025-05-02|00:45:49|Laser printer|Staples|-700.0
2025-05-02|00:45:49|Game|eSpots|80.0
2025-05-02|00:14:32|bills again|gas|-500.00
2025-05-10|09:00:00|Mouse pad|Amazon|-12.99
2025-05-10|14:30:00|USB hub|Amazon|-25.00
2025-05-11|10:00:00|Invoice 1050 paid|Tom|850.00
2025-05-11|11:45:00|Brand logo design|Lisa|400.00
2025-05-12|13:00:00|Ad manager fee|Meta|-60.00
2025-05-12|14:15:00|Graphic subscription|Adobe|-54.99
2025-05-13|09:30:00|Filing cabinet|IKEA|-120.00
2025-05-13|10:45:00|Workspace desk|IKEA|-300.00
2025-05-14|08:30:00|Coffee pods|Walmart|-18.50
2025-05-14|09:10:00|Client invoice paid|Anna|1300.00
2025-05-15|12:25:00|Website analytics service|Google|-80.00
2025-05-15|13:45:00|Business email renewal|Google|-45.00
2025-05-16|10:20:00|Headphones|Amazon|-99.99
2025-05-16|11:35:00|Tripod|Amazon|-49.99
